Sample_Id,Group
barcode01,Natural water A
barcode02,Natural water A
barcode03,Natural water A
barcode04,Natural water A
barcode05,Natural water A
barcode06,Natural water A
barcode07,Natural water A
barcode08,Natural water A
barcode09,Natural water A
barcode10,Natural water A
barcode11,Natural water A
barcode12,Natural water B
barcode13,Natural water B
barcode14,Natural water B
barcode15,Natural water B
barcode16,Natural water B
barcode17,Natural water B
barcode18,Natural water B
barcode19,Natural water B
barcode20,Natural water B
barcode21,Natural water D
barcode22,Natural water D
barcode23,Natural water D
barcode24,Natural water D
